id,value
top.Topic8.buffet,0.00640075355532
top.Topic8.breakfast,0.00605682902754
top.Topic8.place,0.00438902240207
top.Topic8.good,0.00383099624156
top.Topic8.buffets,0.00356509984732
top.Topic8.like,0.00337292012485
top.Topic8.just,0.00309319189819
top.Topic8.service,0.00302655141192
top.Topic8.beers,0.00289605053218
top.Topic8.time,0.00275684877581
top.Topic8.don,0.00257397546614
top.Topic8.bad,0.00247576542306
top.Topic8.better,0.00247008868562
top.Topic8.really,0.00246669553886
top.Topic9,
top.Topic9.buffet,0.00493622133479
top.Topic9.sandwiches,0.00419138806064
top.Topic9.tonkatsu,0.0034793917926
top.Topic9.sauerkraut,0.00335775071504
top.Topic9.men,0.00302975291591
top.Topic9.public,0.00279914309108
top.Topic9.smoke,0.00276071227246
top.Topic9.draft,0.00272409965347
top.Topic9.ranch,0.00264850051006
top.Topic9.brisket,0.00227744802955
top.Topic9.coleslaw,0.00226228709013
top.Topic9.tenders,0.00226012526359
top.Topic9.place,0.00218639699839
top.Topic9.pizza,0.00216534209257
top.Topic9.players,0.00216389648185
