id,value
top.Topic8.tonkatsu,0.0147980209383
top.Topic8.cornish,0.0122267006633
top.Topic8.football,0.0110823165787
top.Topic8.tvs,0.0103803555344
top.Topic8.british,0.00908772633867
top.Topic8.dane,0.00704867931048
top.Topic8.pasties,0.00646077818468
top.Topic8.scotch,0.00580447972947
top.Topic8.trivia,0.00552690816068
top.Topic8.singing,0.00529171769989
top.Topic8.game,0.00528715565872
top.Topic8.students,0.00513676026082
top.Topic8.mandalay,0.00470669087949
top.Topic8.games,0.00468353046171
top.Topic9,
top.Topic9.pub,0.0146768121024
top.Topic9.ale,0.0123413951584
top.Topic9.whiskey,0.0110770053249
top.Topic9.nori,0.0081434772806
top.Topic9.windsor,0.00756194285383
top.Topic9.unlimited,0.00676625626402
top.Topic9.strawberries,0.00637663442408
top.Topic9.bands,0.00589337802153
top.Topic9.blast,0.00585873338107
top.Topic9.vengeance,0.00565339261852
top.Topic9.tap,0.00564957640526
top.Topic9.songs,0.00524967139466
top.Topic9.marrow,0.0051338621937
top.Topic9.ra,0.00500754288227
top.Topic9.drunken,0.00489098568981
